Name,Description,Category,Address,Latitude,Longitude,Icon Color,Google Maps URL,Operating Hours,Admission Fee,Ratings,Notes,Type
The Overlook,,Roadside Attraction,"Talkeetna, AK 99676, United States",62.85550074,-150.2328423,N/A,"https://www.google.com/maps/place/The+Overlook/@55.9619369,-150.1449517,2819980m/data=!3m1!1e3!4m10!1m2!2m1!1sroadside+attractions+Alaska!3m6!1s0x56cebfc5c9a825cd:0xd0bca1567c2ae6dd!8m2!3d62.3047975!4d-150.1009212!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJLZEY5TVlUUm5SUkFC4AEA-gEECAAQNA!16s%2Fg%2F11fkw91fnn?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.8/5,,Attraction
Portage Lake Overlook,"Portage Lake is a glacial lake in the Chugach National Forest of the U.S. state of Alaska. It sits in a long, heavily glaciated valley, and abuts the calving face of Portage Glacier at its southern end.",Roadside Attraction,"Portage Glacier Rd, Anchorage, AK 99587, United States",61.33391317,-148.6068658,N/A,"https://www.google.com/maps/place/Portage+Lake+Overlook/@59.352958,-149.2530023,763501m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c87396747094f3:0x669355916fb13b73!8m2!3d60.7870364!4d-148.8214307!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xT0RaMk5GcFJFQUXgAQD6AQQIIhBJ!16s%2Fg%2F11ft74b59x?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.9/5,,Attraction
Hammer Museum,"Small museum, open May–Sep, presenting exhibits tracing the global history of the hammer.",Roadside Attraction,"108 Main St, Haines, AK 99827, United States",59.30458767,-135.4310723,N/A,"https://www.google.com/maps/place/Hammer+Museum/@59.2562005,-137.5606704,382838m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x54001f762e035807:0x44e8fa16e303c718!8m2!3d59.2350206!4d-135.4444092!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fm%2F02rr4mh?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–5 PM,,4.7/5,,Attraction
Palmer Museum of History & Art,"Quaint, heritage museum offering exhibits & artifacts covering local history, plus a flower garden.",Roadside Attraction,"723 S Valley Way, Palmer, AK 99645, United States",61.69499906,-149.1020516,N/A,"https://www.google.com/maps/place/Palmer+Museum+of+History+%26+Art/@61.5984758,-152.0134285,599076m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c91df03e7c739f:0xe1e3a0dae0cabaeb!8m2!3d61.5984758!4d-149.1129942!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fg%2F1thw6gcb?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–4 PM,,4.6/5,,Attraction
Wedgewood Wildlife Sanctuary,"Small, scenic natural area with a lakeside walking trail, wildlife viewing & interpretive signs.",Roadside Attraction,"212 Wedgewood Dr, Fairbanks, AK 99701, United States",64.97568657,-147.702688,N/A,"https://www.google.com/maps/place/Wedgewood+Wildlife+Sanctuary/@63.7666721,-150.141999,556732m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x5132451666fb1487:0x373b82e4210a40e9!8m2!3d64.8615864!4d-147.7136743!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEPbmF0dXJlX3ByZXNlcnZl4AEA!16s%2Fg%2F11b75f3x2x?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Alaska Wildlife Conservation Center,"Refuge for sick, wounded & orphaned animals that offers visitors a chance to see wildlife up close.",Roadside Attraction,"43520 Seward Hwy, Girdwood, AK 99587, United States",60.82980936,-148.9750738,N/A,"https://www.google.com/maps/place/Alaska+Wildlife+Conservation+Center/@60.6896426,-149.1391835,54498m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c876b20a7fd467:0xd959a1a66e3b4773!8m2!3d60.8212004!4d-148.9792242!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEPd2lsZGxpZmVfcmVmdWdl4AEA!16zL20vMDhxZzZw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",10 AM–4 PM,,4.7/5,,Attraction
Veterans Memorial,We dedicate this quiet place to the remembrance of the veterans of Alaska who have served their country at home and throughout the world. We honor their heroism and dedication.,Roadside Attraction,"Trapper Creek, AK 99683, United States",62.75270407,-150.1240511,N/A,"https://www.google.com/maps/place/Veterans+Memorial/@62.7461016,-150.5593843,72096m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56cc295cf8f0d2e5:0xcdc204c22b8cc5f!8m2!3d62.7461016!4d-150.1282322!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgENbWVtb3JpYWxfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOd2JtTmxVak5uUlJBQuABAPoBBAgAEEg!16s%2Fm%2F0h66js5?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.7/5,,Attraction
World’s Largest Gold Pan,,Roadside Attraction,"405 Warren Pl, Nome, AK 99762, United States",64.50936518,-165.4056424,N/A,"https://www.google.com/maps/place/World%E2%80%99s+Largest+Gold+Pan/@64.4470866,-165.9319416,52365m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x57311bc68f9c7291:0x8b43b6e8810635d9!8m2!3d64.5004309!4d-165.408298!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJpYUdadVlTMUJSUkFC4AEA-gEECAAQHA!16s%2Fg%2F11c0pxn_y3?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Lowell Creek Waterfall,"This human-engineered waterfall is powerful and impressive, spewing a whitewater gusher that grows even bigger during epic rain storms. Lowell Creek once regularly flooded the downtown Seward from Lowell Canyon—flowing right down Jefferson Street to deposit thousands of cubic yards of gravel and silt. The U.S. Army Corps of Engineers rerouted the creek through a 2,068-foot tunnel beneath Bear Mountain in 1940. The tunnel was listed on the National Register of Historic Places in 1977.",Roadside Attraction,"14823007, Seward, AK 99664, United States",60.09902292,-149.445713,N/A,"https://www.google.com/maps/place/Lowell+Creek+Waterfall/@60.0955121,-149.4609775,2383m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c79d327faaf509:0xf057b27f7d3b53e9!8m2!3d60.0979706!4d-149.4458772!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVI0ZWpaNlNXNTNSUkFC4AEA-gEECAAQHQ!16s%2Fg%2F11f5vc6hty?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.5/5,,Attraction
"Begich, Boggs Visitor Center","Visitor center since 1986 offering exhibits on glacial activity, interpretive programs & a bookshop.",Roadside Attraction,"Portage Lake Loop, Girdwood, AK 99587, United States",60.90984968,-148.5905781,N/A,"https://www.google.com/maps/place/Begich,+Boggs+Visitor+Center/@60.3030442,-150.1555057,311985m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c87473cda3522b:0xe1123401d9ee31f7!8m2!3d60.7846222!4d-148.8411255!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEOdmlzaXRvcl9jZW50ZXLgAQA!16s%2Fg%2F1tzgnyxk?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",9 AM–5 PM,,4.5/5,,Attraction
North America's Most Westerly Highway Point,"large sign next to this Alaskan highway. It's such an important spot that there's also a bench, flagpole, historical marker, and monument.",Roadside Attraction,"Anchor Point, AK 99556, United States",59.81002294,-151.8067514,N/A,"https://www.google.com/maps/place/North+America's+Most+Westerly+Highway+Point/@59.9155448,-152.7444454,265452m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c14b25c583ba03:0xd75e4fcb692ffa39!8m2!3d59.7755945!4d-151.8329348!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4YkRndFQxWm5FQUXgAQD6AQQIABAy!16s%2Fg%2F11gxg8vky0?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.1/5,,Attraction
Fairbanks Ice Museum,"Locally made ice sculptures, slide presentations & a nightly aurora show set in a vintage theater.",Roadside Attraction,"500 2nd Ave, Fairbanks, AK 99701, United States",64.94745759,-147.7121404,N/A,"https://www.google.com/maps/place/Fairbanks+Ice+Museum/@64.9220177,-151.2411954,448904m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x5132454896de0959:0x326675f714d4934d!8m2!3d64.84378!4d-147.7181643!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGbXVzZXVt4AEA!16s%2Fm%2F012zbtj2?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",12 P.M –6 PM,,4.0/5,,Attraction
Hurricane Gulch Bridge,"The Hurricane Gulch Bridge is a 918-foot (280 m) long steel arch railroad bridge that crosses Hurricane Gulch, Alaska. It is located at milepost 284.2, counting from Seward. At 296 feet (90 m) above the Hurricane creek, it is both the longest and tallest bridge on the entire Alaska Railroad",Roadside Attraction,"Parks Hwy, Cantwell, AK 99729, United States",63.13060298,-149.558808,N/A,"https://www.google.com/maps/place/Hurricane+Gulch+Bridge/@61.0514501,-153.8984076,609626m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56cc488c7329729d:0xce792836e770d0b4!8m2!3d63.0142588!4d-149.5907148!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgEGYnJpZGdlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMYkdSMlVEbFJSUkFC4AEA-gEECBwQPg!16s%2Fg%2F11cmdgh3fw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",Open 24 hours,,4.6/5,,Attraction
Anchorage Light Speed Planet Walk - Mars,"The Anchorage Light Speed Planet Walk is a scale model of our solar system. Taking the walk, you experience the relative size of the planets and their distance from the Sun.",Roadside Attraction,"1201-1253 W 5th Ave, Anchorage, AK 99501, United States",61.29195474,-149.8978881,N/A,"https://www.google.com/maps/place/Anchorage+Light+Speed+Planet+Walk+-+Mars/@60.8693355,-152.057533,433546m/data=!3m1!1e3!4m11!1m3!2m2!1sroadside+attractions+Alaska!6e1!3m6!1s0x56c8bd83dbf41f0f:0x6f87a693daf873dd!8m2!3d61.2176497!4d-149.906166!15sChtyb2Fkc2lkZSBhdHRyYWN0aW9ucyBBbGFza2FaHSIbcm9hZHNpZGUgYXR0cmFjdGlvbnMgYWxhc2thkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJITW5SRFpXWm5FQUXgAQD6AQUIqwEQLw!16s%2Fg%2F11g8xj42_1?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",,,4.3/5,,Attraction
